Paraula,Definicio
blocatge,"['Situació sinòptica en la qual hi ha una interrupció del moviment normal dels sistemes baromètrics. Generalment fa referència a un sistema d’alta pressió que roman estàtic o quasi estàtic durant molt de temps, generalment setmanes, bloquejant la circulació dels sistemes de baixa pressió. Aquesta configuració, de manera habitual, està darrere de situacions d’onades de calor o fred persistent.']"
bloqueig,['Blocatge.']
cop de vent,['Ratxa.']
glopada de vent,['Ratxa.']
boira,"['Condensació del vapor d’aigua a prop de terra que dificulta la visibilitat. Segons les convencions internacionals, la visibilitat ha de ser inferior a 1 km almenys en una direcció determinada.']"
boira catabàtica,['Boira causada per un vent catabàtic.']
boira d’advecció,"['Boira causada pel refredament d’una massa d’aire càlid amb la part inferior humida, quan passa damunt una superfície freda.']"
boira d’evaporació,['Boira causada per la saturació d’una massa d’aire fred originada per una evaporació intensa sota aquesta massa d’aire fred.']
boira d’inversió,['Boira causada pel descens d’una capa d’estratus formada sota una inversió tèrmica.']
boira de mescla,['Boira causada per la barreja de dues masses d’aire humit no saturat i de temperatures diferents.']
boira de radiació,['Boira causada pel refredament nocturn d’una massa d’aire estancada prima i humida que té lloc quan es refreda per radiació la superfície terrestre que hi ha sota.']
boira gebradora,['Boira que diposita gebre damunt els objectes.']
boira humida,"['Boira amb un grau higromètric molt alt, que humiteja els objectes.']"
boira marítima,['Boira d’advecció causada per l’entrada d’una massa d’aire continental càlid sobre el mar.']
boira òptica,"['Enterboliment de les imatges dels objectes llunyans, per efecte de la turbulència de l’aire, en particular a les hores de molta calor. Encara que l’aspecte del paisatge és emboirat, no es tracta de cap hidrometeor ni de cap fenomen de pol·lució.']"
boira orogràfica,['Boira causada per l’orografia pròpia d’una regió.']
boira pixanera,['Boira ploranera.']
boira ploranera,"['Boira formada per gotes grans que es precipiten en forma líquida sobre els objectes o sobre el sòl. Boira de la qual cau una precipitació apreciable, en forma de finíssimes gotes. Sol ésser un núvol de pluja, que a muntanya està en contacte amb el terreny.']"
boira postfrontal,['Boira de radiació produïda després del pas d’un front sobre un terreny humit.']
boira prefrontal,"['Boira d’evaporació produïda abans del pas d’un front càlid, a causa de l’augment de la humitat atmosfèrica per evaporació de la pluja caiguda davant el front.']"
boira roinera,['Boira ploranera.']
boirim,['Boira lleu formada per gotes d’aigua molt petites i escampades.']
boirina,"['Boira lleu, o aire emboirat, en la qual la visibilitat és superior a 1 km però inferior a 10 km.']"
boirum,"['Boira amb presència de contaminants atmosfèrics d’origen industrial, que és conseqüència de la gran concentració de partícules de pols i fum que, en actuar com a nuclis de condensació, provoquen la condensació de vapor d’aigua, fins i tot en el cas que la humitat relativa de l’aire sigui inferior al 100 %.']"
boirum fotoquímic,"['Capa d’aire contaminat en la capa fronterera de l’atmosfera, per la presència d’altes concentracions de contaminants primaris, com ara els òxids de nitrogen, de sofre i els compostos orgànics volàtils, i de secundaris formats a partir d’una forta radiació solar.']"
bola del termòmetre,"['Bombolla o dipòsit del termòmetre, on és contingut el líquid dilatable. Se li dona usualment aquest nom encara que no tingui forma de bola.']"
bòlid,"['Meteor de grans dimensions, que en penetrar en l’atmosfera produeix una gran resplendor, deixant un rastre lluminós o de fum i desfent-se a vegades en fragments. La caiguda d’alguns bòlids produeix en l’atmosfera una ona explosiva capaç d’ésser registrada en els barògrafs, àdhuc a gran distància.']"
bolòmetre,"['Instrument per a determinar la intensitat calorífica de cadascuna de les radiacions de l’espectre, per la variació de la resistència elèctrica d’un conductor ennegrit que es va exposant a l’acció de les radiacions successives.']"
borrasca explosiva,['Cicló bomba.']
bombatge,"['Fluctuacions de la columna del baròmetre de mercuri, degudes a ratxes del vent o a moviments del suport (p. ex., en la mar).']"
bombolla d’aire,['Conjunt de partícules d’aire les trajectòries i les propietats físiques de les quals presenten homogeneïtat dins una regió petita de contorn delimitat.']
bonança,"['Estat tranquil de la mar.', 'Temps bo, de temperatura suau, serè i tranquil.']"
bora,"['Vent catabàtic del NE, que a vegades bufa amb fúria en la regió septentrional de l’Adriàtic.']"
borralló,['Floc de neu.']
borrasca,"['Vent fort (temporal) acompanyat de pluja, neu o pedra. Forma comuna que s’utilitza per a anomenar una depressió a les latituds mitjanes. S’associa amb nuvolositat, precipitacions i vents forts.']"
borrasca extratropical,['Depressió associada a un front.']
borreguetes,"['Nom popular per a anomenar els petits núvols blancs i arrodonits, com els altocúmuls floccus, que recorden a un ramat. El terme s’utilitza en diverses dites populars, com «cel de borreguetes, terra de pastetes», per a indicar que són núvols prefrontals i poden indicar un canvi de temps en les properes hores.']"
borrufada,['Tempesta de vent i de neu.']
bossa d’aire,"['Corrent d’aire descendent, en el qual una aeronau sembla perdre sustentació. Es troba amb freqüència a sotavent de les muntanyes o damunt les superfícies fredes (rius, llacs).']"
brisa,"['Forma més comuna de referir-se a un vent fluix.', 'Vent causat per la diferent densitat de dues masses d’aire veïnes quan reposen sobre regions de capacitat d’escalfament diferent.', 'A les zones costaneres, es parla de brisa de mar durant el dia (marinada) i brisa de terra durant la nit (terral); a les zones de muntanya, de brisa de vall (diürna) i de muntanya (nocturna). A l’escala de Beaufort de la intensitat del vent, apareix el terme brisa per a anomenar els vents entre força 2 i 6, qualificats d’entre molt dèbils a forts.', 'Vent de 5 a 9 metres per segon. Més concretament es diu brisa dels vents convectius de periodicitat diürna.']"
brisa de vall,['Vent convectiu que de dia puja pel vessant de les muntanyes. És produïda per l’escalfament diferencial del fons de la vall i el vessant més insolat en relació amb els cims.']
brisa de mar,"['Vent convectiu, més propi dels mesos càlids, que de dia bufa de mar cap a terra per efecte de la major temperatura d’aquesta. A Mallorca en diuen embat.']"
brisa de muntanya,['Vent que davalla de les muntanyes durant la nit. És degut al refredament més intens de la part alta de les muntanyes per radiació nocturna en relació amb la vall.']
brisa de terra,['Brisa nocturna que bufa des de la terra cap al mar.']
broma,['Suspensió en l’atmosfera de gotetes d’aigua líquida i de cristalls de glaç prop de la superfície que redueixen la visibilitat a més d’un kilòmetre.']
broma seca,['Broma que no humiteja les superfícies amb les quals està en contacte.']
brontòmetre,['Aparell per observar o registrar els fenòmens que esdevenen durant el pas d’una tempesta.']
bufador,['Forat de la terra per on surt vent fred durant l’estiu (bufadors dels volcans d’Olot). Hi ha també bufadors que funcionen a conseqüència dels canvis de la pressió atmosfèrica exterior.']
bufanda,['Pileus.']
bufarut,['Remolí de pols.']
butlletí meteorològic,['Butlletí on es consignen les observacions meteorològiques realitzades en una regió durant un període de temps determinat.']
C. G. S.,"['Abreviatura de centímetre, gram, segon, usada per a designar el sistema d’unitats que té per base el centímetre de longitud, el gram de massa i el segon de temps mitjà.']"
cabrejar,"['En esgarrapar la cresta de les ones, el vent produeix unes clapes d’escuma, les quals, metafòricament, s’anomenen cabres. D’ací el verb cabrejar, que significa que la mar exhibeix aquesta acció del vent.']"
calabruix,['Calamarsa.']
calamarsa,"['Precipitació formada d’aigua solidificada, de grans mig transparents, rodons, rarament cònics, de 2 a 5 mm de diàmetre. Sovint tenen un nucli de calabruix cobert per una clovella de glaç. Àdhuc quan cauen sobre un terreny dur, el cobreixen sense trencar-se, i són difícils d’aixafar. Solen caure de núvols convectius, especialment a la primavera, i molts cops ensems amb la pluja, són humits.']"
calamarsa tova,['Calamarsa.']
calamarsada,"['Precipitació en forma de calamarsa, en particular si és quelcom abundant.']"
calibratge,['Determinació de les correccions que cal aplicar a les lectures d’un instrument per a obtenir valors exactes.']
calamarsó,['Calamarsa de grans molt petits.']
calima,['Calitja.']
calitja,"['Lleu opacitat de l’aire, deguda a partícules de pols provinents de regions seques, o partícules de sal, seques i tan petites que no es poden sentir al tacte ni veure a simple vista, però que donen a l’aire un aspecte fumós característic. La calitja estén un vel uniforme sobre el paisatge i n’entela la coloració. Vist sobre un fons fosc, aquest vel té un to blavós («els horitzons blaus»), però sobre un fons clar (p. ex., núvols a l’horitzó, muntanyes nevades, el Sol) la seva tonalitat és d’un groc brut o roig-groguenc; això la diferencia de la boirina, que és grisenca, encara que la intensitat de les dues pot ésser la mateixa.']"
calitja òptica,['Boira òptica poc intensa.']
calma,"['Absència de vent sensible, que es reconeix quan el fum puja verticalment.', 'Vent de força 0, amb una velocitat entre 0 i 0,2 m · s–1.']"
calmes equatorials,"['Zona equatorial on regnen calmes o vents fluixos i variables en direcció durant llargs períodes de temps. La posició és variable estacionalment, basculant entre els 5° S i 15° N. En anglès és coneguda com a Doldrums, i coincideix amb l’anomenada zona de convergència intertropical (ZCIT).']"
calmes subtropicals,"['Zona de calmes i vents febles i de bon temps, que es troba a les latituds de 30° a 35°, entre els alisis i els vents de ponent de les latituds més elevades. El terme bon temps fa referència al predomini anticiclònic i l’absència de nuvolositat d’aquesta zona. En anglès es coneix com a horse latitudes.']"
calor,"['Quantitat d’energia que es transfereix entre dos cossos o sistemes físics pel fet d’estar a diferent temperatura. Aquesta transferència està vinculada al moviment molecular i es produeix dels cossos que tenen més temperatura als que en tenen menys. Es pot produir per contacte, per convecció o per radiació.']"
